t,NbIter,Residual,V[V0],I[V0],V[V1],I[V1],Bz,T
17,1,5.541279181e-14,0.000000,133747.254909,0.250000,-133777.349488,-0.928074,348.1118854
17.1,1,5.041199594e-14,0.000000,133747.254909,0.250000,-133777.349488,-0.928074,348.1118863
17.2,1,6.524072236e-14,0.000000,133747.254909,0.250000,-133777.349488,-0.928074,348.1118872
17.3,1,6.635351943e-14,0.000000,133747.254909,0.250000,-133777.349488,-0.928074,348.1118881
17.4,1,6.990428803e-14,0.000000,133747.254909,0.250000,-133777.349488,-0.928074,348.1118889
17.5,1,6.657503416e-14,0.000000,133747.254909,0.250000,-133777.349488,-0.928074,348.1118898
17.6,1,6.606973281e-14,0.000000,133747.254909,0.250000,-133777.349488,-0.928074,348.1118906
17.7,1,6.671344919e-14,0.000000,133747.254909,0.250000,-133777.349488,-0.928074,348.1118914
17.8,1,6.133444915e-14,0.000000,133747.254909,0.250000,-133777.349488,-0.928074,348.1118921
17.9,1,5.866064387e-14,0.000000,133747.254909,0.250000,-133777.349488,-0.928074,348.1118929
18,1,6.683940411e-14,0.000000,133747.254909,0.250000,-133777.349488,-0.928074,348.1118936
18.1,1,6.366620572e-14,0.000000,133747.254909,0.250000,-133777.349488,-0.928074,348.1118944
18.2,1,7.264955021e-14,0.000000,133747.254909,0.250000,-133777.349488,-0.928074,348.1118951
18.3,1,5.556718741e-14,0.000000,133747.254909,0.250000,-133777.349488,-0.928074,348.1118958
18.4,1,6.445738176e-14,0.000000,133747.254909,0.250000,-133777.349488,-0.928074,348.1118965
18.5,1,6.654622596e-14,0.000000,133747.254909,0.250000,-133777.349488,-0.928074,348.1118972
18.6,1,5.389348048e-14,0.000000,133747.254909,0.250000,-133777.349488,-0.928074,348.1118978
18.7,1,4.910388455e-14,0.000000,133747.254909,0.250000,-133777.349488,-0.928074,348.1118985
18.8,1,6.79880418e-14,0.000000,133747.254909,0.250000,-133777.349488,-0.928074,348.1118992
18.9,1,7.703961388e-14,0.000000,133747.254909,0.250000,-133777.349488,-0.928074,348.1118998
19,1,5.094098296e-14,0.000000,133747.254909,0.250000,-133777.349488,-0.928074,348.1119004
19.1,1,5.467570084e-14,0.000000,133747.254909,0.250000,-133777.349488,-0.928074,348.1119011
19.2,1,7.917838429e-14,0.000000,133747.254909,0.250000,-133777.349488,-0.928074,348.1119017
19.3,1,6.136336808e-14,0.000000,133747.254909,0.250000,-133777.349488,-0.928074,348.1119023
19.4,1,9.407896346e-14,0.000000,133747.254909,0.250000,-133777.349488,-0.928074,348.1119029
19.5,1,6.468967042e-14,0.000000,133747.254909,0.250000,-133777.349488,-0.928074,348.1119035
19.6,1,6.217457064e-14,0.000000,133747.254909,0.250000,-133777.349488,-0.928074,348.1119041
19.7,1,6.497216163e-14,0.000000,133747.254909,0.250000,-133777.349488,-0.928074,348.1119047
19.8,1,6.221340918e-14,0.000000,133747.254909,0.250000,-133777.349488,-0.928074,348.1119052
19.9,1,5.506048774e-14,0.000000,133747.254909,0.250000,-133777.349488,-0.928074,348.1119058
20,1,3.859149166e-15,0.000000,27065.965577,0.000000,-27066.595949,-0.187646,343.3946766
20.1,1,5.326092207e-16,0.000000,5542.462105,0.000000,-5542.576780,-0.038414,338.6487201
20.2,1,1.028467538e-16,0.000000,1136.303975,0.000000,-1136.327460,-0.007875,334.21772
20.3,1,3.25386244e-17,0.000000,232.997332,0.000000,-233.002150,-0.001615,330.1538942
20.4,1,5.675636522e-18,0.000000,47.776679,0.000000,-47.777667,-0.000331,326.4603825
20.5,1,1.098670252e-18,0.000000,9.796752,0.000000,-9.796955,-0.000068,323.119719
20.6,1,3.200010803e-19,0.000000,2.008854,0.000000,-2.008896,-0.000014,320.1059469
