t,NbIter,Residual,V[V0],I[V0],V[V1],I[V1],Bz,T
2.05,1,6.48571151e-15,0.000000,118925.653780,0.250000,-119112.412957,-0.817442,336.2989603
2.06,1,2.392990926e-14,0.000000,118878.367043,0.250000,-119065.119528,-0.817115,336.4545914
2.07,1,1.212415573e-14,0.000000,118831.594675,0.250000,-119018.340508,-0.816791,336.608667
2.08,1,1.655268439e-14,0.000000,118785.330579,0.250000,-118972.069798,-0.816470,336.7612029
2.09,1,2.118371311e-14,0.000000,118739.568741,0.250000,-118926.301387,-0.816153,336.9122149
2.1,1,1.100230053e-14,0.000000,118694.303228,0.250000,-118881.029341,-0.815840,337.0617184
2.11,1,9.989347944e-15,0.000000,118649.528190,0.250000,-118836.247809,-0.815529,337.2097287
2.12,1,5.905502811e-15,0.000000,118605.237853,0.250000,-118791.951018,-0.815223,337.356261
2.13,1,1.430998503e-14,0.000000,118561.426523,0.250000,-118748.133275,-0.814919,337.5013303
2.14,1,3.704759166e-14,0.000000,118518.088581,0.250000,-118704.788960,-0.814619,337.6449513
2.15,1,1.415152668e-14,0.000000,118475.218483,0.250000,-118661.912531,-0.814322,337.787139
2.16,1,3.899821838e-14,0.000000,118432.810763,0.250000,-118619.498519,-0.814028,337.9279076
2.17,1,1.656575649e-14,0.000000,118390.860022,0.250000,-118577.541529,-0.813738,338.0672718
2.18,1,2.647017242e-14,0.000000,118349.360937,0.250000,-118536.036235,-0.813450,338.2052455
2.19,1,1.102060249e-14,0.000000,118308.308254,0.250000,-118494.977385,-0.813166,338.3418431
2.2,1,1.190410706e-14,0.000000,118267.696789,0.250000,-118454.359793,-0.812885,338.4770783
2.21,1,1.125237235e-14,0.000000,118227.521425,0.250000,-118414.178345,-0.812606,338.610965
2.22,1,2.245486721e-14,0.000000,118187.777115,0.250000,-118374.427992,-0.812331,338.7435168
2.23,1,1.950625073e-14,0.000000,118148.458876,0.250000,-118335.103751,-0.812059,338.8747473
2.24,1,1.016457914e-14,0.000000,118109.561791,0.250000,-118296.200705,-0.811789,339.0046698
2.25,1,1.350490238e-14,0.000000,118071.081006,0.250000,-118257.714001,-0.811523,339.1332974
2.26,1,2.26625716e-14,0.000000,118033.011732,0.250000,-118219.638850,-0.811259,339.2606434
2.27,1,3.067916433e-14,0.000000,117995.349241,0.250000,-118181.970523,-0.810998,339.3867206
2.28,1,1.444563718e-14,0.000000,117958.088867,0.250000,-118144.704355,-0.810740,339.5115418
2.29,1,7.358480349e-15,0.000000,117921.226003,0.250000,-118107.835739,-0.810485,339.6351198
2.3,1,8.510803453e-15,0.000000,117884.756103,0.250000,-118071.360128,-0.810232,339.7574671
2.31,1,9.601879843e-15,0.000000,117848.674679,0.250000,-118035.273034,-0.809982,339.8785961
2.32,1,4.229510901e-14,0.000000,117812.977299,0.250000,-117999.570026,-0.809735,339.9985191
2.33,1,8.069319776e-15,0.000000,117777.659591,0.250000,-117964.246731,-0.809490,340.1172483
2.34,1,9.917043097e-15,0.000000,117742.717235,0.250000,-117929.298830,-0.809248,340.2347957
2.35,1,8.896399363e-15,0.000000,117708.145968,0.250000,-117894.722059,-0.809009,340.3511731
2.36,1,1.092098039e-14,0.000000,117673.941582,0.250000,-117860.512210,-0.808772,340.4663925
2.37,1,2.634110622e-14,0.000000,117640.099921,0.250000,-117826.665127,-0.808538,340.5804654
2.38,1,1.388629258e-14,0.000000,117606.616882,0.250000,-117793.176708,-0.808306,340.6934034
2.39,1,3.909112761e-14,0.000000,117573.488413,0.250000,-117760.042899,-0.808076,340.805218
2.4,1,1.031179954e-14,0.000000,117540.710515,0.250000,-117727.259702,-0.807849,340.9159203
2.41,1,9.785480335e-15,0.000000,117508.279237,0.250000,-117694.823166,-0.807625,341.0255218
2.42,1,1.016083702e-14,0.000000,117476.190680,0.250000,-117662.729391,-0.807402,341.1340333
2.43,1,1.542155824e-14,0.000000,117444.440990,0.250000,-117630.974525,-0.807182,341.2414659
2.44,1,1.989573485e-14,0.000000,117413.026366,0.250000,-117599.554763,-0.806965,341.3478304
2.45,1,1.668749123e-14,0.000000,117381.943050,0.250000,-117568.466351,-0.806750,341.4531376
2.46,1,1.705520652e-14,0.000000,117351.187333,0.250000,-117537.705578,-0.806537,341.557398
2.47,1,2.532905846e-14,0.000000,117320.755552,0.250000,-117507.268781,-0.806326,341.6606223
2.48,1,2.523449112e-14,0.000000,117290.644088,0.250000,-117477.152342,-0.806117,341.7628207
2.49,1,1.552418636e-14,0.000000,117260.849369,0.250000,-117447.352686,-0.805911,341.8640037
