"T","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
346.48,1,0.0085,0.001,0.0835,0
346.52,1,0.008525,0.001,0.083525,0
346.56,1,0.00855,0.001,0.08355,0
346.6,1,0.008575,0.001,0.083575,0
346.63,1,0.0086,0.001,0.0836,0
346.66,1,0.008625,0.001,0.083625,0
346.69,1,0.00865,0.001,0.08365,0
346.72,1,0.008675,0.001,0.083675,0
346.75,1,0.0087,0.001,0.0837,0
346.79,1,0.008725,0.001,0.083725,0
346.82,1,0.00875,0.001,0.08375,0
346.85,1,0.008775,0.001,0.083775,0
346.88,1,0.0088,0.001,0.0838,0
346.91,1,0.008825,0.001,0.083825,0
346.94,1,0.00885,0.001,0.08385,0
346.98,1,0.008875,0.001,0.083875,0
347.01,1,0.0089,0.001,0.0839,0
347.04,1,0.008925,0.001,0.083925,0
347.07,1,0.00895,0.001,0.08395,0
347.1,1,0.008975,0.001,0.083975,0
347.14,1,0.009,0.001,0.084,0
347.17,1,0.009025,0.001,0.084025,0
347.2,1,0.00905,0.001,0.08405,0
347.23,1,0.009075,0.001,0.084075,0
347.25,1,0.0091,0.001,0.0841,0
347.28,1,0.009125,0.001,0.084125,0
347.31,1,0.00915,0.001,0.08415,0
347.34,1,0.009175,0.001,0.084175,0
347.37,1,0.0092,0.001,0.0842,0
347.39,1,0.009225,0.001,0.084225,0
347.42,1,0.00925,0.001,0.08425,0
347.45,1,0.009275,0.001,0.084275,0
347.48,1,0.0093,0.001,0.0843,0
347.51,1,0.009325,0.001,0.084325,0
347.53,1,0.00935,0.001,0.08435,0
347.56,1,0.009375,0.001,0.084375,0
347.59,1,0.0094,0.001,0.0844,0
347.62,1,0.009425,0.001,0.084425,0
347.64,1,0.00945,0.001,0.08445,0
347.67,1,0.009475,0.001,0.084475,0
347.7,1,0.0095,0.001,0.0845,0
347.73,1,0.009525,0.001,0.084525,0
347.76,1,0.00955,0.001,0.08455,0
347.78,1,0.009575,0.001,0.084575,0
347.81,1,0.0096,0.001,0.0846,0
347.84,1,0.009625,0.001,0.084625,0
347.87,1,0.00965,0.001,0.08465,0
347.9,1,0.009675,0.001,0.084675,0
347.92,1,0.0097,0.001,0.0847,0
347.95,1,0.009725,0.001,0.084725,0
347.98,1,0.00975,0.001,0.08475,0
348.01,1,0.009775,0.001,0.084775,0
348.03,1,0.0098,0.001,0.0848,0
348.06,1,0.009825,0.001,0.084825,0
348.09,1,0.00985,0.001,0.08485,0
348.12,1,0.009875,0.001,0.084875,0
348.15,1,0.0099,0.001,0.0849,0
348.17,1,0.009925,0.001,0.084925,0
348.2,1,0.00995,0.001,0.08495,0
348.23,1,0.009975,0.001,0.084975,0
348.26,1,0.01,0.001,0.085,0
348.29,1,0.010025,0.001,0.085025,0
348.31,1,0.01005,0.001,0.08505,0
348.34,1,0.010075,0.001,0.085075,0
348.37,1,0.0101,0.001,0.0851,0
348.39,1,0.010125,0.001,0.085125,0
348.39,1,0.01015,0.001,0.08515,0
348.4,1,0.010175,0.001,0.085175,0
348.4,1,0.0102,0.001,0.0852,0
348.41,1,0.010225,0.001,0.085225,0
348.41,1,0.01025,0.001,0.08525,0
348.42,1,0.010275,0.001,0.085275,0
348.43,1,0.0103,0.001,0.0853,0
348.43,1,0.010325,0.001,0.085325,0
348.44,1,0.01035,0.001,0.08535,0
348.44,1,0.010375,0.001,0.085375,0
348.45,1,0.0104,0.001,0.0854,0
348.45,1,0.010425,0.001,0.085425,0
348.46,1,0.01045,0.001,0.08545,0
348.46,1,0.010475,0.001,0.085475,0
348.47,1,0.0105,0.001,0.0855,0
348.47,1,0.010525,0.001,0.085525,0
348.48,1,0.01055,0.001,0.08555,0
348.48,1,0.010575,0.001,0.085575,0
348.49,1,0.0106,0.001,0.0856,0
348.49,1,0.010625,0.001,0.085625,0
348.5,1,0.01065,0.001,0.08565,0
348.51,1,0.010675,0.001,0.085675,0
348.51,1,0.0107,0.001,0.0857,0
348.52,1,0.010725,0.001,0.085725,0
348.52,1,0.01075,0.001,0.08575,0
348.53,1,0.010775,0.001,0.085775,0
348.53,1,0.0108,0.001,0.0858,0
348.54,1,0.010825,0.001,0.085825,0
348.54,1,0.01085,0.001,0.08585,0
348.55,1,0.010875,0.001,0.085875,0
348.55,1,0.0109,0.001,0.0859,0
348.56,1,0.010925,0.001,0.085925,0
348.56,1,0.01095,0.001,0.08595,0
348.57,1,0.010975,0.001,0.085975,0
348.57,1,0.011,0.001,0.086,0
348.57,1,0.011025,0.001,0.086025,0
348.57,1,0.01105,0.001,0.08605,0
348.57,1,0.011075,0.001,0.086075,0
348.56,1,0.0111,0.001,0.0861,0
348.56,1,0.011125,0.001,0.086125,0
348.56,1,0.01115,0.001,0.08615,0
348.55,1,0.011175,0.001,0.086175,0
348.55,1,0.0112,0.001,0.0862,0
348.55,1,0.011225,0.001,0.086225,0
348.54,1,0.01125,0.001,0.08625,0
348.54,1,0.011275,0.001,0.086275,0
348.54,1,0.0113,0.001,0.0863,0
348.53,1,0.011325,0.001,0.086325,0
348.53,1,0.01135,0.001,0.08635,0
348.53,1,0.011375,0.001,0.086375,0
348.52,1,0.0114,0.001,0.0864,0
348.52,1,0.011425,0.001,0.086425,0
348.52,1,0.01145,0.001,0.08645,0
348.51,1,0.011475,0.001,0.086475,0
348.51,1,0.0115,0.001,0.0865,0
348.5,1,0.011525,0.001,0.086525,0
348.5,1,0.01155,0.001,0.08655,0
348.5,1,0.011575,0.001,0.086575,0
348.49,1,0.0116,0.001,0.0866,0
348.49,1,0.011625,0.001,0.086625,0
348.48,1,0.01165,0.001,0.08665,0
348.48,1,0.011675,0.001,0.086675,0
348.48,1,0.0117,0.001,0.0867,0
348.47,1,0.011725,0.001,0.086725,0
348.47,1,0.01175,0.001,0.08675,0
348.46,1,0.011775,0.001,0.086775,0
348.46,1,0.0118,0.001,0.0868,0
348.46,1,0.011825,0.001,0.086825,0
348.45,1,0.01185,0.001,0.08685,0
348.45,1,0.011875,0.001,0.086875,0
348.44,1,0.0119,0.001,0.0869,0
348.44,1,0.011925,0.001,0.086925,0
348.44,1,0.01195,0.001,0.08695,0
348.43,1,0.011975,0.001,0.086975,0
348.43,1,0.012,0.001,0.087,0
348.42,1,0.012025,0.001,0.087025,0
348.42,1,0.01205,0.001,0.08705,0
348.42,1,0.012075,0.001,0.087075,0
348.41,1,0.0121,0.001,0.0871,0
348.41,1,0.012125,0.001,0.087125,0
348.4,1,0.01215,0.001,0.08715,0
348.39,1,0.012175,0.001,0.087175,0
348.38,1,0.0122,0.001,0.0872,0
348.37,1,0.012225,0.001,0.087225,0
348.36,1,0.01225,0.001,0.08725,0
348.34,1,0.012275,0.001,0.087275,0
348.33,1,0.0123,0.001,0.0873,0
348.32,1,0.012325,0.001,0.087325,0
348.31,1,0.01235,0.001,0.08735,0
348.3,1,0.012375,0.001,0.087375,0
348.28,1,0.0124,0.001,0.0874,0
348.27,1,0.012425,0.001,0.087425,0
348.26,1,0.01245,0.001,0.08745,0
348.25,1,0.012475,0.001,0.087475,0
348.24,1,0.0125,0.001,0.0875,0
348.23,1,0.012525,0.001,0.087525,0
348.21,1,0.01255,0.001,0.08755,0
348.19,1,0.012575,0.001,0.087575,0
348.16,1,0.0126,0.001,0.0876,0
348.14,1,0.012625,0.001,0.087625,0
348.12,1,0.01265,0.001,0.08765,0
348.1,1,0.012675,0.001,0.087675,0
348.07,1,0.0127,0.001,0.0877,0
348.05,1,0.012725,0.001,0.087725,0
348.03,1,0.01275,0.001,0.08775,0
348.01,1,0.012775,0.001,0.087775,0
347.98,1,0.0128,0.001,0.0878,0
347.96,1,0.012825,0.001,0.087825,0
347.94,1,0.01285,0.001,0.08785,0
347.92,1,0.012875,0.001,0.087875,0
347.89,1,0.0129,0.001,0.0879,0
347.87,1,0.012925,0.001,0.087925,0
347.85,1,0.01295,0.001,0.08795,0
347.83,1,0.012975,0.001,0.087975,0
347.8,1,0.013,0.001,0.088,0
347.78,1,0.013025,0.001,0.088025,0
347.76,1,0.01305,0.001,0.08805,0
347.74,1,0.013075,0.001,0.088075,0
347.71,1,0.0131,0.001,0.0881,0
347.69,1,0.013125,0.001,0.088125,0
347.67,1,0.01315,0.001,0.08815,0
347.65,1,0.013175,0.001,0.088175,0
347.62,1,0.0132,0.001,0.0882,0
347.6,1,0.013225,0.001,0.088225,0
347.58,1,0.01325,0.001,0.08825,0
347.56,1,0.013275,0.001,0.088275,0
347.54,1,0.0133,0.001,0.0883,0
347.52,1,0.013325,0.001,0.088325,0
347.5,1,0.01335,0.001,0.08835,0
347.47,1,0.013375,0.001,0.088375,0
347.45,1,0.0134,0.001,0.0884,0
347.43,1,0.013425,0.001,0.088425,0
347.41,1,0.01345,0.001,0.08845,0
347.39,1,0.013475,0.001,0.088475,0
347.37,1,0.0135,0.001,0.0885,0
347.35,1,0.013525,0.001,0.088525,0
347.33,1,0.01355,0.001,0.08855,0
347.31,1,0.013575,0.001,0.088575,0
347.29,1,0.0136,0.001,0.0886,0
347.26,1,0.013625,0.001,0.088625,0
347.24,1,0.01365,0.001,0.08865,0
347.22,1,0.013675,0.001,0.088675,0
347.2,1,0.0137,0.001,0.0887,0
347.17,1,0.013725,0.001,0.088725,0
347.14,1,0.01375,0.001,0.08875,0
347.11,1,0.013775,0.001,0.088775,0
347.09,1,0.0138,0.001,0.0888,0
347.06,1,0.013825,0.001,0.088825,0
347.03,1,0.01385,0.001,0.08885,0
347,1,0.013875,0.001,0.088875,0
346.98,1,0.0139,0.001,0.0889,0
346.95,1,0.013925,0.001,0.088925,0
346.92,1,0.01395,0.001,0.08895,0
346.89,1,0.013975,0.001,0.088975,0
346.87,1,0.014,0.001,0.089,0
346.84,1,0.014025,0.001,0.089025,0
346.81,1,0.01405,0.001,0.08905,0
346.78,1,0.014075,0.001,0.089075,0
346.76,1,0.0141,0.001,0.0891,0
346.73,1,0.014125,0.001,0.089125,0
346.7,1,0.01415,0.001,0.08915,0
346.67,1,0.014175,0.001,0.089175,0
346.65,1,0.0142,0.001,0.0892,0
346.62,1,0.014225,0.001,0.089225,0
346.59,1,0.01425,0.001,0.08925,0
346.56,1,0.014275,0.001,0.089275,0
346.54,1,0.0143,0.001,0.0893,0
346.51,1,0.014325,0.001,0.089325,0
346.48,1,0.01435,0.001,0.08935,0
346.45,1,0.014375,0.001,0.089375,0
346.43,1,0.0144,0.001,0.0894,0
